Unnamed: 0,Communication_Communication band,Communication_Frequency [GHz],Communication_Beamwidth [deg],Communication_D_r [m],Communication_Required Eb/N0 [dB],Communication_Efficiency,Communication_D_antenna [m],Communication_Mass_communication [kg],Communication_Data Rate [bps],OBC_cpu_DMIPS,OBC_cpu_power_idle,OBC_power max,OBC_cpu efficiency,OBC_recovery rate,OBC_Throughtput per W,OBC_Mass_OBC,SolarArray_Solar Material,SolarArray_Efficiency,SolarArray_Specific Power [W/kg],SolarArray_A_solar [m^2],SolarArray_P_solar_max [W],SolarArray_Mass_solar_array [kg],Battery_Battery type,Battery_Number of cell,Battery_Diameter [m],Battery_Length [m],Battery_Volumetric Energy [Wh/m³],Battery_Specific Energy [Wh/kg],Battery_Capacity [Wh],Battery_Mass_battery [kg],Radiator_Radiator material,Radiator_A_radiator [m2],Radiator_rho [kg/m³],Radiator_emissivity,Radiator_thickness [m],Radiator_Q_rad [W/K⁴],Radiator_Mass_radiator [kg],CubeSat mass,score_4orbits,score_8orbits,score_15orbits,subscore_4_Power,subscore_4_Thermal,subscore_4_OBC,subscore_4_Comm,subscore_4_Payload,subscore_8_Power,subscore_8_Thermal,subscore_8_OBC,subscore_8_Comm,subscore_8_Payload,subscore_15_Power,subscore_15_Thermal,subscore_15_OBC,subscore_15_Comm,subscore_15_Payload
2000,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Additive_manufacture_substrate,0.199,53.6,0.03,8.16099,0.1522572761194029,NiH2_common,3,0.046,0.08,84000,56.0,33.50395467717985,0.5982849049496402,Maxorb,0.03,2100,0.1,0.0015,1.7009999999999999e-10,0.0945,0.9229484310690432,4.532583581764015,4.179282998433972,3.9817620111701757,0.9124317516427616,0.5400434150193753,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.9107037341625666,0.4549045261304864,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.9112146194299873,0.41302502892845505,0.24985180131967416,0.3246419872493838,0.3278628968567367
2100,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Additive_manufacture_substrate,0.199,53.6,0.03,8.16099,0.1522572761194029,NaS,3,0.046,0.08,399000,210.0,159.14378471660427,0.7578275462695442,Whitepaints_ZOT,0.03,1300,0.91,0.002,1.5479099999999999e-09,0.078,1.0659910723889472,4.4003303669251075,4.104464920830044,3.9369664649360208,0.898044965355848,0.47318208494153857,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.8980700715557498,0.4214644923489459,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.8980628772922638,0.39602480429870707,0.24985180131967416,0.3246419872493838,0.3278628968567367
2200,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Additive_manufacture_substrate,0.199,53.6,0.03,8.16099,0.1522572761194029,LiFe_21700,3,0.021,0.07,69730,57.75,5.071862028400334,0.0878244507082308,Metallic_VDA,0.03,2700,0.04,0.002,6.803999999999999e-11,0.162,0.4799879768276338,4.245369565316034,4.013707780274552,3.8798282532475303,0.87396601681505,0.4064273476785418,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.8724142996681034,0.38796669953039364,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.8725182713125716,0.37888597657807715,0.24985180131967416,0.3246419872493838,0.3278628968567367
2300,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,FlexiblePV,0.3,100.0,0.03,12.303,0.1230299999999999,NiH2_common,3,0.046,0.08,84000,56.0,33.50395467717985,0.5982849049496402,Quartzmirror,0.03,1333,0.8,0.008,1.3607999999999999e-09,0.31992,1.1191411549496402,6.51233708858773,5.684727052084822,5.021267079940604,0.9077916723253149,0.749092885312969,0.3629910256510077,0.7297152512515772,0.6502991452991453,0.9064986045431347,0.518879922350006,0.347296523023494,0.5587442883248481,0.6504299754299754,0.906818545304642,0.35777387321849585,0.24813575469589869,0.6095405184044623,0.6504975517295846
2400,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,FlexiblePV,0.3,100.0,0.03,12.303,0.1230299999999999,LiSOCl2,3,0.021,0.07,176000,110.0,12.801487408553836,0.1163771582595803,Whitepaints_chemglazeA276,0.03,1300,0.88,0.001,1.49688e-09,0.039,0.3563134082595803,4.958044629039397,4.768748121854134,4.242227183276018,0.9039974567138307,0.49632720793959667,0.24864808555951676,0.5657332873494191,0.47470085470085466,0.8979857047968214,0.35914433756922637,0.33531996499523187,0.4441177806786269,0.513482800982801,0.8935605767199344,0.2837113735411796,0.25860192961751777,0.445537973738382,0.4703838256199652
2500,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,FlexiblePV,0.3,100.0,0.03,12.303,0.1230299999999999,LiFe_18650,3,0.018,0.065,69730,57.75,3.460104124331423,0.0599152229321458,Metallic_bareAl,0.03,2700,0.1,0.001,1.7009999999999999e-10,0.081,0.3418514729321458,4.24622327042328,4.049520784029912,3.884915052387425,0.8428208185755692,0.38760668033011286,0.31877116278067313,0.35312797653615957,0.37538461538461537,0.8419278700536631,0.37834047662640913,0.2995515359922199,0.3222320101465095,0.3541769041769042,0.8416940437065202,0.373782466096237,0.27548590152580926,0.3114173509337918,0.3278628968567367
2600,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,NiH2_individual,3,0.021,0.07,64500,43.0,4.691454192339331,0.1091035858683565,Silveredteflon_2mil,0.03,2100,0.66,0.002,1.12266e-09,0.126,0.5091446184770522,4.974296188766259,4.710311563620285,4.297004507599008,0.8684307543554001,0.5251775402898904,0.24864808555951676,0.5657332873494191,0.47470085470085466,0.8514128170759616,0.3338627254750756,0.34797594023593503,0.44716433237686526,0.5242321867321866,0.8381176327134477,0.24417105482251245,0.2582132019396129,0.5101254046043271,0.5434686463433896
2700,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,LiCF,3,0.018,0.065,215600,98.0,10.698385905719988,0.1091672031195917,Blackpaints_chemglazeZ306,0.03,1200,0.89,0.0015,1.5138899999999996e-09,0.054,0.4372082357282873,4.328886703307973,4.067466383055754,3.9189006106730218,0.9025923178537616,0.43379987528469216,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.9007541156553095,0.4016077456550626,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.9009702888308582,0.3857725589343271,0.24985180131967416,0.3246419872493838,0.3278628968567367
2800,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,LiIon_21700,3,0.018,0.065,228500,190.4,11.338502687648504,0.0595509594939522,Metallic_VDG,0.03,8400,0.03,0.001,5.102999999999999e-11,0.252,0.5855919921026478,4.37732341243966,4.092969866288828,3.9326596919766637,0.9039272630734322,0.4579411265117203,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.9020833901354318,0.41374668206727583,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.9023144248893372,0.39200760211672714,0.24985180131967416,0.3246419872493838,0.3278628968567367
2900,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Carbon_fiber,0.21,84.5,0.03,8.6121,0.1019183431952662,NiCd,3,0.018,0.065,54000,30.0,2.6795586220263417,0.0893186207342113,Silveredteflon_5mil,0.03,2100,0.78,0.005,1.3267799999999996e-09,0.315,0.5841432139294777,4.252644168339501,3.963924273041928,3.800965575794174,0.8199916966536701,0.4369037083707775,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.8190354779573321,0.38825093059299975,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.8188580789818894,0.3643188133501423,0.24985180131967416,0.3246419872493838,0.3278628968567367
3000,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Carbon_fiber,0.21,84.5,0.03,8.6121,0.1019183431952662,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Blackpaints_3Mblackvelvet,0.03,1200,0.84,0.002,1.4288399999999996e-09,0.072,0.3682017514548465,4.323425937701732,4.06454950365845,3.9173236520318575,0.9025509426279124,0.43109040095569895,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.9006410551887817,0.4002200305853286,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.900881370308393,0.3850350122414926,0.24985180131967416,0.3246419872493838,0.3278628968567367
3100,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Carbon_fiber,0.21,84.5,0.03,8.6121,0.1019183431952662,LiIon_18650,3,0.018,0.065,184500,155.1,9.155158625256668,0.059027457287277,Metallic_anodizedAl,0.03,2750,0.88,0.002,1.49688e-09,0.165,0.4038520504825433,4.319705964045485,4.061200371730617,3.9141435635323623,0.8989052716260807,0.43097984538445233,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.8970183533873246,0.400183549088156,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.8972307233343931,0.38503496750099386,0.24985180131967416,0.3246419872493838,0.3278628968567367
