Communication_Communication band,Communication_Frequency [GHz],Communication_Beamwidth [deg],Communication_D_r [m],Communication_Required Eb/N0 [dB],Communication_Efficiency,Communication_D_antenna [m],Communication_Mass_communication [kg],Communication_Data Rate [bps],OBC_cpu_DMIPS,OBC_cpu_power_idle,OBC_power max,OBC_cpu efficiency,OBC_recovery rate,OBC_Throughtput per W,OBC_Mass_OBC,SolarArray_Solar Material,SolarArray_Efficiency,SolarArray_Specific Power [W/kg],SolarArray_A_solar [m^2],SolarArray_P_solar_max [W],SolarArray_Mass_solar_array [kg],Battery_Battery type,Battery_Number of cell,Battery_Diameter [m],Battery_Length [m],Battery_Volumetric Energy [Wh/m³],Battery_Specific Energy [Wh/kg],Battery_Capacity [Wh],Battery_Mass_battery [kg],Radiator_Radiator material,Radiator_A_radiator [m2],Radiator_rho [kg/m³],Radiator_emissivity,Radiator_thickness [m],Radiator_Q_rad [W/K⁴],Radiator_Mass_radiator [kg],CubeSat mass,score_4orbits,score_8orbits,score_15orbits,subscore_4_Power,subscore_4_Thermal,subscore_4_OBC,subscore_4_Comm,subscore_4_Payload,subscore_8_Power,subscore_8_Thermal,subscore_8_OBC,subscore_8_Comm,subscore_8_Payload,subscore_15_Power,subscore_15_Thermal,subscore_15_OBC,subscore_15_Comm,subscore_15_Payload
S_band3,3.6,22.5,0.08,7.5,0.63,0.2592592592592592,0.8544252441773101,13231.153889448362,90,0.4,1.1,7000.0,1.5,300000.0,0.042,Additive_manufacture_substrate,0.199,53.6,0.03,8.16099,0.1522572761194029,LiCF,3,0.018,0.065,215600,98.0,10.698385905719988,0.1091672031195917,Aluminizedkapton_5mil,0.03,1420,0.86,0.005,1.4628599999999996e-09,0.213,1.3708497234163048,6.027933695295246,5.070088811264273,4.4295196456828805,0.9005070351983371,0.5833546729616506,0.4686130890347726,0.6810642956670643,0.47470085470085466,0.8987252526730458,0.4765838396283172,0.4074069219583849,0.4511590727548744,0.4255528255528256,0.8990691145564315,0.4240636708288692,0.3309577405821352,0.37068427531166753,0.36457115779497706
C_band,4.0,22.5,0.075,8.0,0.5,0.2333333333333333,1.172051089406461,8225.61147464575,500,1.5,3.0,20000.0,3.0,500000.0,0.075,PCB1,0.18,95.0,0.03,7.381799999999999,0.0777031578947368,LiFe_21700,3,0.021,0.07,69730,57.75,5.071862028400334,0.0878244507082308,Aluminizedkapton_2mil,0.03,1420,0.75,0.002,1.2757499999999999e-09,0.0852,1.4977786980094288,7.870293424470194,7.138683516145049,6.598465948899248,0.725897107421153,0.921363959485069,0.768808515910238,0.9030607500297154,0.6502991452991453,0.7294824843285858,0.6112597928184023,0.7041298501410811,0.9078135083397658,0.6504299754299754,0.728524553983154,0.419597375324281,0.6859102567250104,0.9171174974787377,0.6504975517295846
L_band1,1.35,60.0,0.09,9.0,0.62,0.2592592592592592,0.0828934936523437,50122.333674452246,60,0.25,0.7,6000.0,1.2,300000.0,0.038,CFRP_substrate2,0.185,84.0,0.03,7.586849999999999,0.0903196428571428,NiH2_single,3,0.018,0.065,85500,57.0,4.242634484875041,0.0744321839451761,Metallic_anodizedAl,0.03,2750,0.88,0.002,1.49688e-09,0.165,0.4506453204546627,4.417526487488138,4.112515846243182,3.9256239464826166,0.8692215214992154,0.43070732513230026,0.27955952924076855,0.4281858508996945,0.37538461538461537,0.867683278344766,0.4000869547619299,0.27137118876716265,0.35256429506978904,0.3541769041769042,0.8677421673148618,0.38502491047186815,0.26099289718404295,0.3260941291872325,0.3278628968567367
S_band3,3.6,22.5,0.08,7.5,0.63,0.2592592592592592,0.8544252441773101,13231.153889448362,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Additive_manufacture_substrate,0.199,53.6,0.03,8.16099,0.1522572761194029,NiH2_single,3,0.018,0.065,85500,57.0,4.242634484875041,0.0744321839451761,Betacloth,0.03,1600,0.86,0.003,1.4628599999999996e-09,0.144,1.2701147042418897,5.330224251691717,4.6178104295105795,4.176413105159282,0.862415491283822,0.5648001981298012,0.3645182024382918,0.600104389847014,0.4038034188034188,0.8609875739259819,0.46729788331498645,0.3324767825620015,0.4190442185603661,0.3746007371007371,0.8610258819898238,0.41933686369435663,0.2924198640004698,0.3556668823486938,0.33836676670352234
C_band,4.0,22.5,0.075,8.0,0.5,0.2333333333333333,1.172051089406461,8225.61147464575,16,0.1,0.3,5000.0,1.0,200000.0,0.035,CFRP_substrate2,0.185,84.0,0.03,7.586849999999999,0.0903196428571428,LiSOCl2,3,0.021,0.07,176000,110.0,12.801487408553836,0.1163771582595803,Metallic_VDA,0.03,2700,0.04,0.002,6.803999999999999e-11,0.162,1.575747890523184,5.824238966164522,4.988311119254447,4.452991148026657,0.9087485790816906,0.670435632378964,0.576200902204757,0.5732492406745768,0.33302564102564103,0.907174337369246,0.5201509101567418,0.4957052868662623,0.40788225866521166,0.3237346437346437,0.9073467229435531,0.44622642410868624,0.3957517567561968,0.34999808268857047,0.3122066024324751
X_band1,8.0,10.0,0.05,12.0,0.7,0.2625,0.27,0.0009850618687046,250,1.0,2.0,18000.0,2.0,500000.0,0.065,PCB1,0.18,95.0,0.03,7.381799999999999,0.0777031578947368,LiFe_21700,3,0.021,0.07,69730,57.75,5.071862028400334,0.0878244507082308,Silveredteflon_5mil,0.03,2100,0.78,0.005,1.3267799999999996e-09,0.315,0.8155276086029677,6.091883339528268,5.091965460022742,4.3730371141085715,0.8062398491745545,0.5374890248225859,0.5481353165939111,0.7440741738805308,0.47470085470085466,0.8074256183690239,0.4386209692670303,0.46455749787250034,0.4889251503104231,0.4255528255528256,0.80817104778405,0.389988146945226,0.3603499811698576,0.38623738616680886,0.36457115779497706
S_band2,2.0,30.0,0.1,15.0,0.68,0.35,0.1465063861758076,12726.763832425344,60,0.25,0.7,6000.0,1.2,300000.0,0.038,CFRP_substrate1,0.15,69.0,0.03,6.1515,0.0891521739130434,LiIon_18650,3,0.018,0.065,184500,155.1,9.155158625256668,0.059027457287277,Astroquartz,0.03,2000,0.8,0.0015,1.3607999999999999e-09,0.09,0.4226860173761282,4.657589318985942,4.287493449126162,4.028607652868793,0.9040324274592547,0.4296083703969605,0.3534879847736736,0.42530265246487425,0.37538461538461537,0.9022595714535759,0.39955512965621975,0.3245015278299408,0.3496810966349688,0.3541769041769042,0.9026553354905791,0.38477205428444233,0.28831755058096353,0.32321093075241225,0.3278628968567367
X_band1,8.0,10.0,0.05,12.0,0.7,0.2625,0.27,0.0009850618687046,90,0.4,1.1,7000.0,1.5,300000.0,0.042,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,NiCd,3,0.018,0.065,54000,30.0,2.6795586220263417,0.0893186207342113,Maxorb,0.03,2100,0.1,0.0015,1.7009999999999999e-10,0.0945,0.7254746207342114,4.729043509909806,4.288717228272795,3.982808785430994,0.7961911914945603,0.4925410780995263,0.3786476791749187,0.4243214190493425,0.37538461538461537,0.7955351844329732,0.4310619114328596,0.3425831555453268,0.3486998632194371,0.3541769041769042,0.7952102684883802,0.4008205420421921,0.2976168368466583,0.32222969733688056,0.3278628968567367
X_band1,8.0,10.0,0.05,12.0,0.7,0.2625,0.27,0.0009850618687046,1000,1.5,2.5,25000.0,4.0,600000.0,0.12,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,NiH2_individual,3,0.021,0.07,64500,43.0,4.691454192339331,0.1091035858683565,Aluminizedteflon_2mil,0.03,2200,0.78,0.002,1.3267799999999996e-09,0.132,0.8607595858683565,8.065379726565272,8.065141932345584,8.055334149303768,0.6920998790463938,0.9944155957465723,0.8472892634253475,0.9000000003665414,0.6502991452991453,0.6945931431614587,0.9895382809317574,0.8481133976882098,0.9000000009357101,0.6504299754299754,0.6928965863723662,0.9858159145747276,0.8481357675608996,0.9000000020499137,0.6504975517295846
L_band1,1.35,60.0,0.09,9.0,0.62,0.2592592592592592,0.0828934936523437,50122.333674452246,100,0.3,0.9,10000.0,2.0,300000.0,0.045,PCB1,0.18,95.0,0.03,7.381799999999999,0.0777031578947368,LiIon_18650,3,0.018,0.065,184500,155.1,9.155158625256668,0.059027457287277,Aluminizedkapton_2mil,0.03,1420,0.75,0.002,1.2757499999999999e-09,0.0852,0.3498241088343576,4.4284346700315265,4.111043236455649,3.9387334123991797,0.9003264934298613,0.43247879103400055,0.2494166396592437,0.4671802481853979,0.37538461538461537,0.8985174363624028,0.40093943918214875,0.24970832658163405,0.3685544608377582,0.3541769041769042,0.8988346518497176,0.38542535137960177,0.24985180131967416,0.3340320165063847,0.3278628968567367
S_band1,2.4,30.0,0.1,11.0,0.71,0.2916666666666667,0.2531630353117955,33378.25204760728,90,0.4,1.1,7000.0,1.5,300000.0,0.042,PCB1,0.18,95.0,0.03,7.381799999999999,0.0777031578947368,NaS,3,0.046,0.08,399000,210.0,159.14378471660427,0.7578275462695442,Metallic_VDA,0.03,2700,0.04,0.002,6.803999999999999e-11,0.162,1.2926937394760765,4.805331794226388,4.3006896025188315,4.034593138141858,0.8976407008112474,0.5558045755860979,0.2494166396592437,0.5485173279923712,0.37538461538461537,0.8976706343079149,0.46281614966017204,0.24970832658163405,0.4004162646025491,0.3541769041769042,0.8976605017771975,0.41707549489935636,0.24985180131967416,0.34857575864774704,0.3278628968567367
X_band1,8.0,10.0,0.05,12.0,0.7,0.2625,0.27,0.0009850618687046,160,0.4,1.2,12000.0,2.5,400000.0,0.05,Carbon_fiber,0.21,84.5,0.03,8.6121,0.1019183431952662,LiFePO4,3,0.021,0.07,103000,89.0,7.491779562960483,0.0841772984602301,Betacloth,0.03,1600,0.86,0.003,1.4628599999999996e-09,0.144,0.6500956416554965,4.986178091753459,4.447249035906368,4.098953747521714,0.8860675462170242,0.45174596705571196,0.378647523865988,0.5417092180998242,0.37538461538461537,0.8845394282443898,0.4106811522408971,0.34258307679982514,0.39468365105828296,0.3541769041769042,0.8847952848081725,0.39048152525981944,0.29761679665316365,0.3432196061063345,0.3278628968567367
VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,225,0.2,1.0,15000.0,1.5,600000.0,0.04,CFRP_substrate2,0.185,84.0,0.03,7.586849999999999,0.0903196428571428,Li-polymer,3,0.018,0.065,169500,119.0,8.410836785804907,0.0706793007210496,Blackpaints_chemglazeZ306,0.03,1200,0.89,0.0015,1.5138899999999996e-09,0.054,0.2879051935781925,4.298348145370296,4.0515404687426,3.9102359179445734,0.901725042890638,0.41911554453780575,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.8999478695532834,0.39415952601928717,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.9001277987187429,0.38188375496613053,0.24985180131967416,0.3246419872493838,0.3278628968567367
